Token Name,Symbol,Address,Balance,Price (USD),Total Value (USD)
Tether USD,USDT,0xc060006111016b8a020ad5b33834984a437aaa7d3c74c18e09a95d48aceab08c::coin::COIN,400.000000,0.999700,399.880000
Sui,SUI,0x2::sui::SUI,0.597314,3.340000,1.995030
Volo Staked SUI,vSUI,0x549e8b69270defbfafd4f94e17ec44cdbdd99820b33bda2278dea3b9a32d3f55::cert::CERT,0.384385,3.460000,1.329972
rwnav.com,$ rwnav.com - Navi Reward Token,0xda4e4ed5cd2351572b31338f5798bdd4116f8ff6c26a11f3030484a79025b901::NaviReward::NAVIREWARD,8091.000000,0.000000,0.000000
rwdsui.cc,$ rwdsui.cc,0x9550060ffaeddf00c09ade1d9d0a3fe8873fd059d5ffeb4ea46eea2ae444212f::RewardSui::REWARDSUI,7961.000000,0.000000,0.000000
rwdnav.cc,$ rwdnav.cc - NAVI Reward,0x2f3019623a784bc82f0610a5dddf822112c6fdc3dd8db964c59e8531186dae84::NaviReward::NAVIREWARD,10000.000000,0.000000,0.000000
navxfi.cc,$ navxfi.cc - NAVI Reward,0xc54428edfa96e8d503b143f7725894a33cf455fe3dfb91d36462ed8461ede7e0::NavxReward::NAVXREWARD,6193.200000,0.000000,0.000000
 USDT v3 (Swap at: usdv3.com),USDT,0x4450b5926da830f899a4073aabd0c18c4d85ab1326462bce55f30de3aa35d625::usdt::USDT,400.000000,0.000000,0.000000
rwnav.com,$ rwnav.com - Navi Reward Token,0xb1b8336fcfc01c1360c6f78c6c8084887eba8595c77901c4b13d9c7e217a3618::NaviReward::NAVIREWARD,7926.000000,0.000000,0.000000
,,,,,
,,,,,
,,,,,
TOTAL,,,,,403.205002
